tag,total,positive,neutral,negative
Punctuality_of_flight,469,211,117,141
Variety_of_food,129,117,10,2
Quality_of_food,111,95,13,3
In_flight_service,107,69,34,4
Seat_quality,84,58,10,16
Airport_rules,76,33,16,27
Price_of_ticket,44,31,8,5
Professionalism_of_flight_crew,40,14,20,6
Professionalism_of_ground_staff,37,14,16,7
Communication_and_updates,36,3,12,21
Web_check_in_process,36,18,6,12
Flight_boarding_process,34,9,10,15
Amount_of_leg_space,34,17,13,4
Cleanliness_of_aircraft,28,14,12,2
In_flight_temperature,27,6,12,9
Excess_baggage_rules,27,5,12,10
Luggage_belt_wait_period,21,3,10,8
In_flight_announcements,19,5,7,7
Crew_uniform,18,4,14,0
Add_on_fees,12,1,10,1
charging_port,12,1,10,1
Auto_assigning_of_seats,11,1,9,1
Aviation_quality,10,0,10,0
Availability_of_add_ons,9,0,8,1
